MCC,MNC,Brand,Operator,Status,Bands (MHz),References and notes,Country,Iso
289,67,Aquafon,Aquafon JSC,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800,MCC is not listed by ITU; LTE band 20,Abkhazia,ge
289,88,A-Mobile,A-Mobile LLSC,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800 / LTE 1800,MCC is not listed by ITU,Abkhazia,ge
276,01,ONE,One Telecommunications,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800 / LTE 2600,Former Telekom Albania,Albania,al
276,02,Vodafone,Vodafone Albania,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800 / LTE 2600,,Albania,al
276,03,ALBtelecom,Albtelecom,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,Former Eagle Mobile,Albania,al
276,04,Plus Communication,Plus Communication,Not operational,GSM 900 / GSM 1800 / UMTS 2100, Shut down Jan 2018; MNC withdrawn,Albania,al
213,03,"Som, Mobiland",Andorra Telecom,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800 / LTE 1800 / 5G,LTE band 20; former Servei de Telecommunicacions d'Andorra,Andorra,ad
283,01,Beeline,Veon Armenia CJSC,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 450 / LTE 1800,,Armenia,am
283,04,Karabakh Telecom,Karabakh Telecom,Operational,GSM 900 / UMTS 900,,Armenia,am
283,05,VivaCell-MTS,K Telecom CJSC,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 2600,,Armenia,am
283,10,Ucom,Ucom LLC,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600,Former Orange,Armenia,am
232,01,A1.net,A1 Telekom Austria,Operational,GSM 900 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600 / 5G 3500,former A1 / Mobilkom / PTA ,Austria,at
232,02,,A1 Telekom Austria,Reserved,,,Austria,at
232,03,Magenta,T-Mobile Austria GmbH,Operational,GSM 900 / UMTS 900 / LTE 800 / LTE 1800 / LTE 2100 / LTE 2600 / 5G 700 / 5G 2100 / 5G 3500,"former Max.Mobil, T-Mobile; national roaming agreement with 232-10: uses Hutchison Drei UMTS where no own coverage",Austria,at
232,04,Magenta,T-Mobile Austria GmbH,Unknown,Unknown,former T-Mobile,Austria,at
232,05,3,Hutchison Drei Austria,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100 / LTE 2600,owned by Hutchison Drei Austria / former Orange Austria / One / Connect; GSM 900 / LTE 900 rarely used,Austria,at
232,06,Orange AT,Orange Austria GmbH,Not operational,Unknown,MNC withdrawn,Austria,at
232,07,Magenta-T,T-Mobile Austria,Operational,MVNO,former tele.ring,Austria,at
232,08,Lycamobile,Lycamobile Austria,Operational,MVNO,,Austria,at
232,09,Tele2Mobil,A1 Telekom Austria,Operational,MVNO,"division bought from Tele2 by A1 Telekom Austria; customers ""moved"" to bob (232-11)",Austria,at
232,10,3,Hutchison Drei Austria,Operational,UMTS 2100 / LTE 1800 / LTE 2100 / LTE 2600 / 5G 3500,national roaming agreement with 232-03: uses T-Mobile GSM where no own coverage,Austria,at
232,11,bob,A1 Telekom Austria,Operational,MVNO,brand of A1 Telekom Austria,Austria,at
232,12,yesss!,A1 Telekom Austria,Operational,MVNO,owned by A1 Telekom Austria / one-way national roaming agreement with 232-05,Austria,at
232,13,Magenta,T-Mobile Austria GmbH,Operational,MVNO,Former UPC Austria,Austria,at
232,14,,Hutchison Drei Austria,Reserved,Unknown,,Austria,at
232,15,Vectone Mobile,Mundio Mobile Austria,Operational,MVNO,"former Barablu Mobile Austria, uses A1",Austria,at
232,16,,Hutchison Drei Austria,Reserved,Unknown,,Austria,at
232,17,,MASS Response Service GmbH,Unknown,Unknown,,Austria,at
232,18,,smartspace GmbH,Unknown,MVNO,,Austria,at
232,19,,Hutchison Drei Austria,Unknown,Unknown,Former Tele2 Telecommunication GmbH,Austria,at
232,20,m:tel,MTEL Austrija GmbH,Operational,MVNO,,Austria,at
232,21,,"Salzburg AG für Energie, Verkehr und Telekommunikation",Unknown,Unknown,,Austria,at
232,22,,Plintron Austria Limited,Unknown,MVNO,,Austria,at
232,23,Magenta,T-Mobile Austria GmbH,Not operational,Unknown,former T-Mobile; MNC withdrawn,Austria,at
232,24,,Smartel Services GmbH,Not operational,Unknown,MNC withdrawn,Austria,at
232,25,,Holding Graz Kommunale Dienstleistungen GmbH,Unknown,Unknown,,Austria,at
232,26,,LIWEST Kabelmedien GmbH,Unknown,Unknown,,Austria,at
232,27,,TISMI B.V.,Unknown,Unknown,,Austria,at
232,91,GSM-R A,ÖBB,Operational,GSM-R,railways communication,Austria,at
232,92,ArgoNET,ArgoNET GmbH,Operational,CDMA450 / LTE450,machine to machine communication for critical infrastructure ,Austria,at
257,01,A1,A1 Belarus,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100,Former velcom; LTE via beCloud,Belarus,by
257,02,MTS,Mobile TeleSystems,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100,LTE via beCloud,Belarus,by
257,03,DIALLOG,BelCel,Not operational,CDMA 450,Closed on 21 January 2014,Belarus,by
257,04,life:),Belarusian Telecommunications Network,Operational,GSM 900 / GSM 1800 / UMTS 2100,Former BeST; LTE via beCloud,Belarus,by
257,05,byfly,Beltelecom,Not operational,WiMAX 3500, Closed on 1 May 2017,Belarus,by
257,06,beCloud,Belorussian Cloud Technologies,Operational,LTE 800 / LTE 1800 / LTE 2600,"Former Yota Bel; wholesale network used by MTS, life:), and A1",Belarus,by
206,00,Proximus,Belgacom Mobile,Not operational,Unknown, MNC withdrawn,Belgium,be
206,01,Proximus,Belgacom Mobile,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600 / 5G 2100 / 5G 3500,,Belgium,be
206,02,,Infrabel,Operational,GSM-R,,Belgium,be
206,03,Citymesh Connect,Citymesh NV,Operational,LTE 2600 / LTE 3500,MVNO and private network,Belgium,be
206,04,MWingz,Proximus/Orange Belgium,Planned,Unknown,Shared Proximus/Orange Belgium,Belgium,be
206,05,Telenet,Telenet,Operational,MVNO,Using Base's Network,Belgium,be
206,06,Lycamobile,Lycamobile sprl,Operational,MVNO,,Belgium,be
206,07,Vectone Mobile,Mundio Mobile Belgium nv,Reserved,MVNO,,Belgium,be
206,08,VOO,Nethys [fr],Operational,MVNO,,Belgium,be
206,09,Voxbone,Voxbone mobile,Not operational,MVNO,MNC withdrawn,Belgium,be
206,10,Orange Belgium,Orange S.A.,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600,Former Mobistar,Belgium,be
206,11,L-mobi,L-Mobi Mobile,Not operational,MVNO, MNC withdrawn,Belgium,be
206,15,,Elephant Talk Communications Schweiz GmbH,Not operational,Unknown,MNC withdrawn ,Belgium,be
206,16,,NextGen Mobile Ltd.,Not operational,Unknown,MNC withdrawn,Belgium,be
206,20,Base,Telenet,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600,,Belgium,be
206,22,Febo.mobi,FEBO Telecom,Not operational,MVNO, MNC withdrawn,Belgium,be
206,25,,Dense Air Belgium SPRL,Unknown,TD-LTE 2600,Former Voyacom,Belgium,be
206,28,,BICS,Unknown,Unknown,,Belgium,be
206,29,,TISMI,Not operational,MVNO, MNC withdrawn,Belgium,be
206,30,Mobile Vikings,Unleashed NV,Operational,MVNO, Uses Orange network,Belgium,be
206,33,,Ericsson NV,Not operational,Unknown,Test network,Belgium,be
206,40,JOIN,JOIN Experience (Belgium),Not operational,MVNO, MNC withdrawn,Belgium,be
206,50,,IP Nexia,Not operational,MVNO, MNC withdrawn,Belgium,be
206,71,,test,Not operational,Unknown,Test network; MNC withdrawn,Belgium,be
206,72,,test,Not operational,Unknown,Test network; MNC withdrawn,Belgium,be
206,73,,test,Not operational,Unknown,Test network; MNC withdrawn,Belgium,be
206,74,,test,Not operational,Unknown,Test network; MNC withdrawn,Belgium,be
206,99,,e-BO Enterprises,Not operational,LTE?, MNC withdrawn,Belgium,be
270,77,,Proximus Luxembourg S.A.,Unknown,Unknown,Uses Luxembourg MCC,Luxembourg,lu
270,99,,Orange Communications Luxembourg S.A.,Unknown,Unknown,Uses Luxembourg MCC,Luxembourg,lu
218,03,HT-ERONET,Public Enterprise Croatian Telecom Ltd.,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE,,Bosnia & Herzegov.,ba
218,05,m:tel,RS Telecommunications JSC Banja Luka,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE,"GSM-MS1, Mobilna Srpske, Mobi's",Bosnia & Herzegov.,ba
218,90,BH Mobile,BH Telecom,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE,,Bosnia & Herzegov.,ba
284,01,A1 BG,A1 Bulgaria,Operational,GSM 900 / UMTS 900 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100 / 5G 3500,"Former Citron, Mobiltel, M-Tel",Bulgaria,bg
284,03,Vivacom,BTC,Operational,GSM 900 / UMTS 900 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100 / 5G 1800 / 5G 2100,Former Vivatel,Bulgaria,bg
284,05,Telenor,Telenor (Bulgaria),Operational,GSM 900 / UMTS 900 / UMTS 2100 / LTE 1800 / LTE 2100 / 5G 3500,Former Globul,Bulgaria,bg
284,07,НКЖИ,НАЦИОНАЛНА КОМПАНИЯ ЖЕЛЕЗОПЪТНА ИНФРАСТРУКТУРА,Operational,GSM-R,(The Bulgarian) National Railway Infrastructure Company,Bulgaria,bg
284,09,,COMPATEL LIMITED,Not operational,Unknown,MNC withdrawn,Bulgaria,bg
284,11,,Bulsatcom,Operational,LTE 1800,,Bulgaria,bg
284,13,Ти.ком,Ti.com JSC,Operational,LTE 1800,Former Max Telecom,Bulgaria,bg
219,01,HT HR,T-Hrvatski Telekom,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / 5G 2100,,Croatia,hr
219,02,,Telemach,Operational,GSM 1800 / UMTS 900 / UMTS 2100 / LTE 1800 / LTE 2600,Former Tele2,Croatia,hr
219,04,,NTH Mobile d.o.o.,Unknown,MVNO,,Croatia,hr
219,10,A1 HR,A1 Hrvatska,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800 / LTE 1800 / 5G 700 / 5G 3500,Former Vipnet,Croatia,hr
219,12,,TELE FOCUS d.o.o.,Unknown,MVNO,,Croatia,hr
219,20,T-Mobile HR,T-Hrvatski Telekom,Unknown,Unknown,,Croatia,hr
280,01,Cytamobile-Vodafone,Cyprus Telecommunications Authority,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600 / 5G 700 / 5G 3500,,Cyprus,cy
280,02,Cytamobile-Vodafone,Cyprus Telecommunications Authority,Unknown,Unknown,,Cyprus,cy
280,10,Epic,Monaco Telecom,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600,Former MTN,Cyprus,cy
280,20,PrimeTel,PrimeTel PLC,Operational,UMTS 2100 / LTE 900 / LTE 1800,"Originally MVNO, MNO since 2015. Uses Epic for 2G/3G roaming.",Cyprus,cy
280,22,lemontel,Lemontel Ltd,Operational,MVNO,,Cyprus,cy
280,23,Vectone Mobile,Mundio Mobile Cyprus Ltd.,Not operational,MVNO, MNC withdrawn,Cyprus,cy
230,01,T-Mobile,T-Mobile Czech Republic,Operational,GSM 900 / LTE 800 / LTE 1800 / LTE 2100 / LTE 2600 / 5G 700 / 5G 1800 / 5G 2100,Former Paegas; UMTS shut down Nov 2021,Czech Rep.,cz
230,02,O2,O2 Czech Republic,Operational,GSM 900 / GSM 1800 / LTE 800 / LTE 1800 / LTE 2600 / TD-LTE 2600 / 5G 3500,Former Eurotel; CDMA 450 shut down June 2019; UMTS shut down Nov 2021,Czech Rep.,cz
230,03,Vodafone,Vodafone Czech Republic,Operational,GSM 900 / GSM 1800 / LTE 800 / LTE 1800 / LTE 2100 / LTE 2600 / 5G 1800 / 5G 2100,Former Oskar; UMTS shut down Mar 2021,Czech Rep.,cz
230,04,,Nordic Telecom s.r.o.,Operational,MVNO / LTE 410,"Former U:fon, Air Telecom; CDMA 410 MHz shut down Dec 2017; LTE 410 for public safety services",Czech Rep.,cz
230,05,,PODA a.s.,Operational,TD-LTE 3700,Former TRAVEL TELEKOMMUNIKATION; fixed wireless,Czech Rep.,cz
230,06,,Nordic Telecom 5G a.s.,Operational,TD-LTE 3700,Former OSNO TELECOMUNICATION,Czech Rep.,cz
230,07,T-Mobile,T-Mobile Czech Republic,Operational,LTE 800,Former ASTELNET,Czech Rep.,cz
230,08,,Compatel s.r.o.,Unknown,Unknown,,Czech Rep.,cz
230,09,Unimobile,"Uniphone, s.r.o.",Unknown,MVNO,Former Vectone/Mundio,Czech Rep.,cz
230,98,,"Správa železniční dopravní cesty, s.o.",Operational,GSM-R 900,railways communication,Czech Rep.,cz
230,99,Vodafone,Vodafone Czech Republic,Not operational,GSM 1800,"R&D Centre at FEE, CTU (educational, experimental); licence expired Jul 2012",Czech Rep.,cz
238,01,TDC,TDC A/S,Operational,GSM 900 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600 / 5G 3500,,Denmark,dk
238,02,Telenor,Telenor Denmark,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600 / 5G 3500,Former Sonofon,Denmark,dk
238,03,,Syniverse Technologies,Unknown,Unknown,Former End2End / MIGway A/S / MACH Connectivity,Denmark,dk
238,04,,Nexcon.io ApS,Unknown,Unknown,Former NextGen Mobile Ltd T/A CardBoardFish,Denmark,dk
238,05,TetraNet,Dansk Beredskabskommunikation A/S,Operational,TETRA,Former ApS KBUS 38 nr. 4418; owned by Motorola Solutions,Denmark,dk
238,06,3,Hi3G Denmark ApS,Operational,UMTS 900 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100 / LTE 2600 / TD-LTE 2600 / 5G 700 / 5G 1800,,Denmark,dk
238,07,Vectone Mobile,Mundio Mobile (Denmark) Limited,Not operational,MVNO,Former Barablu; MNC withdrawn ,Denmark,dk
238,08,Voxbone,Voxbone mobile,Operational,MVNO,Former Nordisk Mobiltelefon,Denmark,dk
238,09,SINE,Dansk Beredskabskommunikation A/S,Operational,TETRA,Owned by Motorola Solutions,Denmark,dk
238,10,TDC,TDC A/S,Operational,Unknown,Test network,Denmark,dk
238,11,SINE,Dansk Beredskabskommunikation A/S,Operational,TETRA,Test network,Denmark,dk
238,12,Lycamobile,Lycamobile Denmark Ltd,Operational,MVNO,,Denmark,dk
238,13,,Compatel Limited,Unknown,Unknown,,Denmark,dk
238,14,,Monty UK Global Limited,Unknown,Unknown,,Denmark,dk
238,15,Net 1,Cibicom,Operational,LTE 450,,Denmark,dk
238,16,,Tismi B.V.,Unknown,Unknown,,Denmark,dk
238,17,,Gotanet AB,Unknown,Unknown,Former Naka AG,Denmark,dk
238,18,,Cubic Telecom,Unknown,Unknown,,Denmark,dk
238,20,Telia,Telia,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600,,Denmark,dk
238,23,GSM-R DK,Banedanmark,Operational,GSM-R,,Denmark,dk
238,25,Viahub,SMS Provider Corp.,Unknown,MVNO,,Denmark,dk
238,28,,LINK Mobile A/S,Unknown,Unknown,Former CoolTEL ApS,Denmark,dk
238,30,,Interactive digital media GmbH,Unknown,Unknown,Former Telia,Denmark,dk
238,40,,Ericsson Danmark A/S,Not operational,Unknown,Test network; former Sense Communications Denmark A/S; MNC withdrawn,Denmark,dk
238,42,,Greenwave Mobile IoT ApS,Unknown,Unknown,"Former Brandtel ApS, Tel42 ApS",Denmark,dk
238,43,,MobiWeb Limited,Not operational,Unknown,MNC withdrawn,Denmark,dk
238,66,,TT-Netværket P/S,Operational,GSM 900 / GSM 1800 / UMTS 900 / LTE 800 / LTE 1800,"Former Telia, now shared network Telia/Telenor",Denmark,dk
238,73,,Onomondo ApS,Unknown,Unknown,,Denmark,dk
238,77,Telenor,Telenor Denmark,Operational,GSM 900 / GSM 1800,Former Tele2,Denmark,dk
238,88,,Cobira ApS,Unknown,Unknown,,Denmark,dk
238,96,Telia,Telia Danmark,Unknown,Unknown,Test network,Denmark,dk
248,01,Telia,Telia Eesti,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600 / 5G,Former EMT,Estonia,ee
248,02,Elisa,Elisa Eesti,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600,,Estonia,ee
248,03,Tele2,Tele2 Eesti,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2100,,Estonia,ee
248,04,Top Connect,OY Top Connect,Operational,MVNO,,Estonia,ee
248,05,CSC Telecom,CSC Telecom Estonia OÜ,Operational,MVNO,Former AS Bravocom Mobiil,Estonia,ee
248,06,,Progroup Holding,Not operational,UMTS 2100,MNC withdrawn,Estonia,ee
248,07,Kou,Televõrgu AS,Not operational,CDMA2000 450,Acquired by Tele 2 in 2012; shut down in January 2016,Estonia,ee
248,08,VIVEX,VIVEX OU,Not operational,MVNO,MNC withdrawn,Estonia,ee
248,09,,Bravo Telecom,Not operational,Unknown,MNC withdrawn,Estonia,ee
248,10,,Telcotrade OÜ,Not operational,Unknown,MNC withdrawn,Estonia,ee
248,11,,UAB Raystorm Eesti filiaal,Unknown,Unknown,,Estonia,ee
248,12,,Ntel Solutions OÜ,Unknown,Unknown,,Estonia,ee
248,13,,Telia Eesti AS,Unknown,Unknown,,Estonia,ee
248,14,,Estonian Crafts OÜ,Unknown,Unknown,,Estonia,ee
248,15,,Premium Net International S.R.L. Eesti filiaal,Not operational,Unknown, MNC withdrawn,Estonia,ee
248,16,dzinga,SmartTel Plus OÜ,Operational,MVNO,,Estonia,ee
248,17,,Baltergo OÜ,Unknown,Unknown,,Estonia,ee
248,18,,Cloud Communications OÜ,Unknown,Unknown,,Estonia,ee
248,19,,OkTelecom OÜ,Unknown,Unknown,,Estonia,ee
248,20,,DOTT Telecom OÜ,Operational,MVNO,,Estonia,ee
248,21,,Tismi B.V.,Unknown,Unknown,,Estonia,ee
248,22,,M2MConnect OÜ,Unknown,Unknown,,Estonia,ee
248,71,,Siseministeerium (Ministry of Interior),Unknown,Unknown,,Estonia,ee
288,01,Føroya Tele,Føroya Tele,Operational,GSM 900 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800,,Faroe Islands,fo
288,02,Hey,Nema,Operational,GSM 900 / UMTS 2100 / LTE 1800,"Former Kall, also uses MCC 274 MNC 02 (Iceland)",Faroe Islands,fo
288,03,TOSA,Tosa Sp/F,Operational,GSM 900 / UMTS 2100 / LTE 1800,Former Edge Mobile,Faroe Islands,fo
244,03,DNA,DNA Oy,Operational,GSM 1800,Former Telia,Finland,fi
244,04,DNA,DNA Oy,Unknown,Unknown,Former Aina Oyj,Finland,fi
244,05,Elisa,Elisa Oyj,Operational,GSM 900 / GSM 1800 / UMTS 900 / LTE 700 / LTE 800 / LTE 1800 / LTE 2100 / LTE 2600 / TD-LTE 2600 / 5G 3500,Former Radiolinja,Finland,fi
244,06,Elisa,Elisa Oyj,Not operational,Unknown,MNC withdrawn,Finland,fi
244,07,Nokia,Nokia Solutions and Networks Oy,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800 / LTE 2600 / TD-LTE 2600,Test network in Espoo Leppävaara and Nokia HQ,Finland,fi
244,08,Nokia,Nokia Solutions and Networks Oy,Unknown,GSM 1800 / UMTS 2100,,Finland,fi
244,09,,Nokia Solutions and Networks Oy,Unknown,GSM 900,Former Finnet Group,Finland,fi
244,10,,Traficom,Unknown,Unknown,Former TDC Oy Finland,Finland,fi
244,11,,Traficom,Unknown,Unknown,Former Vectone Mobile,Finland,fi
244,12,DNA,DNA Oy,Operational,GSM 900 / GSM 1800 / UMTS 900 / LTE 700 / LTE 800 / LTE 1800 / LTE 2100 / LTE 2600 / 5G 3500,,Finland,fi
244,13,DNA,DNA Oy,Not operational,GSM 900 / GSM 1800,,Finland,fi
244,14,Ålcom,Ålands Telekommunikation Ab,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800,Former Ålands Mobiltelefon (ÅMT); coverage only in Åland,Finland,fi
244,15,,Telit Wireless Solutions GmbH,Unknown,Unknown,Former educational network of Satakunta University of Applied Sciences,Finland,fi
244,16,,Digita Oy,Unknown,Unknown,Former Tele2,Finland,fi
244,17,,Liikennevirasto,Operational,GSM-R,Finnish Transport Agency,Finland,fi
244,19,,Nettia Oy,Operational,MVNO,,Finland,fi
244,20,,Elisa Oyj,Unknown,Unknown,Former Telia,Finland,fi
244,21,Elisa- Saunalahti,Elisa Oyj,Operational,MVNO,Internal MVNO-code of Elisa Oyj. Former Saunalahti Group Oyj,Finland,fi
244,22,,EXFO Oy,Not operational,Unknown,Former NetHawk Oyj; MNC withdrawn,Finland,fi
244,23,,EXFO Oy,Not operational,Unknown,Former NetHawk Oyj; MNC withdrawn,Finland,fi
244,24,,Nord Connect UAB,Unknown,Unknown,Former Tampere University of Technology foundation,Finland,fi
244,25,,Fortum Power and Heat Oy,Unknown,Unknown,Former Datame Oy CDMA,Finland,fi
244,26,Compatel,Compatel Ltd,Operational,MVNO,,Finland,fi
244,27,,Teknologian tutkimuskeskus VTT Oy,Not operational,LTE 450 / LTE 1800 / LTE 2100 / LTE 2600 / 5G 3500 / 5G mmWave,VTT Technical Research Centre of Finland; MNC withdrawn,Finland,fi
244,28,,Teknologian tutkimuskeskus VTT Oy,Not operational,Unknown,VTT Technical Research Centre of Finland; MNC withdrawn,Finland,fi
244,29,,Teknologian tutkimuskeskus VTT Oy,Not operational,Unknown,"Former SCNL Truphone, VTT Technical Research Centre of Finland; MNC withdrawn",Finland,fi
244,30,,Teknologian tutkimuskeskus VTT Oy,Not operational,Unknown,"Former Mundio Mobile Oy, VTT Technical Research Centre of Finland; MNC withdrawn",Finland,fi
244,31,,Teknologian tutkimuskeskus VTT Oy,Not operational,Unknown,"Former Ukko Mobile Oy, VTT Technical Research Centre of Finland; MNC withdrawn",Finland,fi
244,32,Voxbone,Voxbone SA,Operational,MVNO,,Finland,fi
244,33,VIRVE,Suomen Turvallisuusverkko Oy,Operational,TETRA,Finnish authorities radio network,Finland,fi
244,34,Bittium Wireless,Bittium Wireless Oy,Operational,MVNO,,Finland,fi
244,35,,Edzcom Oy,Operational,LTE 450 / TD-LTE 2600,Former Ukkoverkot; data-only network,Finland,fi
244,36,Telia / DNA,Telia Finland Oyj / Suomen Yhteisverkko Oy,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 900 / LTE 1800 / LTE 2100 / LTE 2600,Joint mobile network in Northern and Eastern Finland areas,Finland,fi
244,37,Tismi,Tismi BV,Operational,MVNO,,Finland,fi
244,38,,Nokia Solutions and Networks Oy,Unknown,Unknown,Test network,Finland,fi
244,39,,Nokia Solutions and Networks Oy,Not operational,Unknown,Test network; MNC withdrawn,Finland,fi
244,40,,Nokia Solutions and Networks Oy,Unknown,Unknown,Test network;,Finland,fi
244,41,,Nokia Solutions and Networks Oy,Not operational,Unknown,Test network MNC withdrawn,Finland,fi
244,42,,SMS Provider Corp.,Unknown,Unknown,,Finland,fi
244,43,,Telavox AB / Telavox Oy,Unknown,Unknown,,Finland,fi
244,44,,Turun ammattikorkeakoulu Oy,Not operational,Unknown,MNC withdrawn,Finland,fi
244,45,,Suomen Turvallisuusverkko Oy,Unknown,Unknown,Public safety network,Finland,fi
244,46,,Suomen Turvallisuusverkko Oy,Unknown,Unknown,Public safety network,Finland,fi
244,47,,Suomen Turvallisuusverkko Oy,Unknown,Unknown,Public safety network,Finland,fi
244,50,,Aalto-korkeakoulusäätiö sr,Not operational,Unknown,MNC withdrawn,Finland,fi
244,51,,Aalto-korkeakoulusäätiö sr,Not operational,NB-IoT 700,MNC withdrawn,Finland,fi
244,52,,Aalto-korkeakoulusäätiö sr,Not operational,5G 3500,MNC withdrawn,Finland,fi
244,53,,Aalto-korkeakoulusäätiö sr,Not operational,Unknown,MNC withdrawn,Finland,fi
244,54,,Aalto-korkeakoulusäätiö sr,Not operational,Unknown,MNC withdrawn,Finland,fi
244,55,,Aalto-korkeakoulusäätiö sr,Not operational,Unknown,MNC withdrawn,Finland,fi
244,56,,Aalto-korkeakoulusäätiö sr,Not operational,Unknown,MNC withdrawn,Finland,fi
244,57,,Aalto-korkeakoulusäätiö sr,Not operational,Unknown,MNC withdrawn,Finland,fi
244,58,,Aalto-korkeakoulusäätiö sr,Not operational,Unknown,MNC withdrawn,Finland,fi
244,59,,Aalto-korkeakoulusäätiö sr,Not operational,Unknown,MNC withdrawn,Finland,fi
244,91,Telia,Telia Finland Oyj,Operational,GSM 900 / GSM 1800 / UMTS 900 / LTE 700 / LTE 800 / LTE 1800 / LTE 2100 / LTE 2600 / 5G 3500,Former Sonera,Finland,fi
244,92,Sonera,TeliaSonera Finland Oyj,Not operational,Unknown, MNC withdrawn,Finland,fi
244,95,,Säteilyturvakeskus,Unknown,Unknown,,Finland,fi
244,99,,Oy L M Ericsson Ab,Not operational,Unknown,MNC withdrawn,Finland,fi
208,01,Orange,Orange S.A.,Operational,GSM 900 / UMTS 900 / UMTS 2100 / LTE 700 / LTE 800 / LTE 1800 / LTE 2100 / LTE 2600 / 5G 2100 / 5G 3500,,France,fr
208,02,Orange,Orange S.A.,Operational,GSM 900 / UMTS 900 / UMTS 2100 / LTE 700 / LTE 800 / LTE 1800 / LTE 2100 / LTE 2600 / 5G 2100 / 5G 3500,Zones Blanches,France,fr
208,03,MobiquiThings,MobiquiThings,Operational,MVNO,,France,fr
208,04,Sisteer,Societe d'ingenierie systeme telecom et reseaux,Operational,MVNO,,France,fr
208,05,,Globalstar Europe,Operational,Satellite,,France,fr
208,06,,Globalstar Europe,Operational,Satellite,,France,fr
208,07,,Globalstar Europe,Operational,Satellite,,France,fr
208,08,SFR,Altice,Operational,MVNO,Former Completel,France,fr
208,09,SFR,Altice,Operational,GSM 900 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2100 / LTE 2600 / 5G 2100 / 5G 3500,is launched for SFR outbound roaming services,France,fr
208,10,SFR,Altice,Operational,GSM 900 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2100 / LTE 2600 / 5G 2100 / 5G 3500,MNC also used in Monaco,France,fr
208,11,SFR,Altice,Operational,UMTS 2100,Femtocells,France,fr
208,12,Truphone,Truphone France,Operational,MVNO,Former Hewlett-Packard France,France,fr
208,13,SFR,Altice,Operational,GSM 900 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2100 / LTE 2600 / 5G 3500,Zones Blanches ,France,fr
208,14,SNCF Réseau,SNCF Réseau,Operational,GSM-R,,France,fr
208,15,Free,Free Mobile,Operational,UMTS 900 / UMTS 2100 / LTE 700 / LTE 1800 / LTE 2600 / 5G 700 / 5G 3500,Principal Network,France,fr
208,16,Free,Free Mobile,Operational,LTE 700 / LTE 1800 / LTE 2600,,France,fr
208,17,LEGOS,Local Exchange Global Operation Services,Unknown,Unknown,,France,fr
208,18,Voxbone,Voxbone mobile,Not operational,MVNO, MNC withdrawn,France,fr
